face_detected,face_center_x,face_center_y,face_size,head_tilt,eye_contact_score,shoulder_level,body_visible,mouth_open,label
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
0,0.5,0.5,0,0,0,0,0,0,good
